lon,lat,name,noise
-73.722322  ,  4.637935  ,  ABCH ,1.5
-75.291762  ,  2.955823  ,  AEBS ,1.5
-75.465981  ,  3.724927  ,  AECH ,1.5
-74.791405  ,  10.879539  ,  AECO ,1.5
-75.954155  ,  4.766397  ,  AECT ,1.5
-74.138787  ,  4.688431  ,  AEDO ,1.5
-75.562136  ,  1.588917  ,  AEFO ,1.5
-74.057577  ,  4.809657  ,  AEGU ,1.5
-74.435776  ,  9.262967  ,  AEMO ,1.5
-75.742123  ,  4.812911  ,  AEMT ,1.5
-76.382448  ,  3.532836  ,  AEPA ,1.5
-75.641113  ,  3.200175  ,  AEPL ,1.5
-74.230935  ,  11.112528  ,  AESI ,1.5
-74.189350  ,  10.584904  ,  AGAB ,1.5
-73.373702  ,  5.519885  ,  AGTU ,1.5
-74.884549  ,  5.210410  ,  AJCM ,1.5
-72.917756  ,  11.527985  ,  ALPA ,1.5
-76.870139  ,  3.534662  ,  ANCH ,1.5
-71.406906  ,  7.025007  ,  AQTA ,1.5
-74.796274  ,  4.272442  ,  ASVI ,1.5
-75.234076  ,  0.742477  ,  BA3E ,1.5
-73.554013  ,  4.071803  ,  BAAP ,1.5
-75.691927  ,  9.402439  ,  BACO ,1.5
-74.565085  ,  4.235597  ,  BAME ,1.5
-74.657509  ,  5.466417  ,  BAPA ,1.5
-75.589982  ,  10.257609  ,  BARU ,1.5
-77.393231  ,  6.202971  ,  BASO ,1.5
-73.357553  ,  8.312446  ,  BOBG ,1.5
-74.080940  ,  4.640075  ,  BOGT ,1.5
-74.080258  ,  4.640905  ,  BP01 ,1.5
-76.995798  ,  3.825686  ,  BUGT ,1.5
-72.427757  ,  5.351424  ,  CAPI ,1.5
-79.846119  ,  15.795141  ,  CAYS ,1.5
-76.299871  ,  3.360123  ,  CCAN ,1.5
-76.007333  ,  4.707078  ,  CCAR ,1.5
-76.501541  ,  3.530549  ,  CCAY ,1.5
-78.728785  ,  1.819979  ,  CCCP ,1.5
-76.084611  ,  4.324699  ,  CCPA ,1.5
-76.277856  ,  3.574211  ,  CCPM ,1.5
-76.286833  ,  4.127371  ,  CCRF ,1.5
-76.473640  ,  3.063084  ,  CCSQ ,1.5
-76.368666  ,  3.881748  ,  CCYO ,1.5
-76.357426  ,  3.505289  ,  CIA1 ,1.5
-81.362920  ,  13.375496  ,  CN35 ,1.5
-75.821135  ,  8.819621  ,  CN36 ,1.5
-75.263175  ,  10.792578  ,  CN37 ,1.5
-71.988026  ,  12.221822  ,  CN38 ,1.5
-74.718441  ,  3.530786  ,  COLH ,1.5
-75.287854  ,  9.328089  ,  CORO ,1.5
-75.554683  ,  4.472275  ,  CPAS ,1.5
-72.512813  ,  7.932276  ,  CUC1 ,1.5
-81.839951  ,  12.164904  ,  CYAB ,1.5
-80.091904  ,  13.573795  ,  CYRK ,1.5
-80.365009  ,  14.287245  ,  CYSE ,1.5
-76.679731  ,  3.739072  ,  DAGA ,1.5
-74.823623  ,  11.040138  ,  DICA ,1.5
-77.101091  ,  1.989314  ,  EBRD ,1.5
-74.791490  ,  7.591816  ,  EBPT ,1.5
-75.531344  ,  10.388247  ,  ENAP ,1.5
-72.876106  ,  11.252806  ,  FIDE ,1.5
-77.894680  ,  2.574480  ,  GUAP ,1.5
-75.688544  ,  7.069533  ,  HITU ,1.5
-75.967887  ,  4.594748  ,  INOB ,1.5
-75.897183  ,  4.908588  ,  INRI ,1.5
-75.854378  ,  5.031603  ,  INSJ ,1.5
-76.042780  ,  4.642220  ,  INTO ,1.5
-74.231780  ,  11.188125  ,  INVE ,1.5
-76.091570  ,  1.855235  ,  LAB1 ,1.5
-76.951058  ,  1.566466  ,  LEDE ,1.5
-71.025274  ,  6.787874  ,  LIPA ,1.5
-72.662017  ,  6.336680  ,  MAKA ,1.5
-81.606136  ,  4.003246  ,  MALO ,1.5
-70.232127  ,  1.260782  ,  MITU ,1.5
-73.683013  ,  8.958906  ,  MORA ,1.5
-75.470525  ,  5.029996  ,  MZAL ,1.5
-73.558029  ,  5.647209  ,  OAMU ,1.5
-71.615813  ,  4.271183  ,  OCEL ,1.5
-77.256634  ,  1.210192  ,  OVSC ,1.5
-73.184174  ,  7.131028  ,  PAL2 ,1.5
-76.499400  ,  0.512779  ,  PASI ,1.5
-73.125667  ,  5.746495  ,  PATU ,1.5
