lon,lat,name,noise
-73.72232   ,   4.63793   ,   ABCH   , 0.6
-74.09903   ,   4.47601   ,   ABDO   , 0.6
-74.25855   ,   4.56809   ,   ABPC   , 0.6
-74.12130   ,   4.73801   ,   ABPS   , 0.6
-74.07177   ,   4.57539   ,   ABPV   , 0.6
-74.00030   ,   4.70602   ,   ABSR   , 0.6
-73.97450   ,   4.97723   ,   ABTI   , 0.6
-75.29176   ,   2.95582   ,   AEBS   , 0.6
-75.46598   ,   3.72493   ,   AECH   , 0.6
-74.79140   ,   10.87954   ,   AECO   , 0.6
-75.95415   ,   4.76640   ,   AECT   , 0.6
-74.13879   ,   4.68843   ,   AEDO   , 0.6
-75.56214   ,   1.58892   ,   AEFO   , 0.6
-74.05758   ,   4.80966   ,   AEGU   , 0.6
-74.43578   ,   9.26297   ,   AEMO   , 0.6
-75.74212   ,   4.81291   ,   AEMT   , 0.6
-76.38245   ,   3.53284   ,   AEPA   , 0.6
-75.64111   ,   3.20017   ,   AEPL   , 0.6
-74.23094   ,   11.11253   ,   AESI   , 0.6
-74.18935   ,   10.58490   ,   AGAB   , 0.6
-73.37370   ,   5.51988   ,   AGTU   , 0.6
-74.88455   ,   5.21041   ,   AJCM   , 0.6
-72.91776   ,   11.52799   ,   ALPA    , 0.6
-76.87014   ,   3.53466   ,   ANCH   , 0.6
-71.40691   ,   7.02501   ,   AQTA   , 0.6
-74.79627   ,   4.27244   ,   ASVI   , 0.6
-75.23408   ,   0.74248   ,   BA3E   , 0.6
-73.55401   ,   4.07180   ,   BAAP   , 0.6
-75.69193   ,   9.40244   ,   BACO   , 0.6
-74.56509   ,   4.23560   ,   BAME   , 0.6
-74.65751   ,   5.46642   ,   BAPA   , 0.6
-75.58998   ,   10.25761   ,   BARU   , 0.6
-77.39323   ,   6.20297   ,   BASO   , 0.6
-73.35755   ,   8.31245   ,   BOBG   , 0.6
-74.08094   ,   4.64008   ,   BOGT   , 0.6
-74.08026   ,   4.64090   ,   BP01   , 0.6
-76.99580   ,   3.82569   ,   BUGT   , 0.6
-72.42776   ,   5.35142   ,   CAPI   , 0.6
-79.84612   ,   15.79514   ,   CAYS   , 0.6
-76.29987   ,   3.36012   ,   CCAN   , 0.6
-76.00733   ,   4.70708   ,   CCAR   , 0.6
-76.50154   ,   3.53055   ,   CCAY   , 0.6
-78.72878   ,   1.81998   ,   CCCP   , 0.6
-76.08461   ,   4.32470   ,   CCPA   , 0.6
-76.27786   ,   3.57421   ,   CCPM   , 0.6
-76.28683   ,   4.12737   ,   CCRF   , 0.6
-76.47364   ,   3.06308   ,   CCSQ   , 0.6
-76.36867   ,   3.88175   ,   CCYO   , 0.6
-76.35743   ,   3.50529   ,   CIA1   , 0.6
-81.36292   ,   13.37550   ,   CN35   , 0.6
-75.82114   ,   8.81962   ,   CN36   , 0.6
-75.26317   ,   10.79258   ,   CN37   , 0.6
-71.98803   ,   12.22182   ,   CN38   , 0.6
-74.71844   ,   3.53079   ,   COLH   , 0.6
-75.28785   ,   9.32809   ,   CORO   , 0.6
-75.55468   ,   4.47227   ,   CPAS   , 0.6
-72.51281   ,   7.93228   ,   CUC1   , 0.6
-81.83995   ,   12.16490   ,   CYAB   , 0.6
-80.09190   ,   13.57379   ,   CYRK   , 0.6
-80.36501   ,   14.28724   ,   CYSE   , 0.6
-76.67973   ,   3.73907   ,   DAGA   , 0.6
-74.82362   ,   11.04014   ,   DICA   , 0.6
-77.10109   ,   1.98931   ,   EBRD   , 0.6
-74.79149   ,   7.59182   ,   EBPT   , 0.6
-75.53134   ,   10.38825   ,   ENAP   , 0.6
-72.87611   ,   11.25281   ,   FIDE   , 0.6
-77.89468   ,   2.57448   ,   GUAP   , 0.6
-75.68854   ,   7.06953   ,   HITU   , 0.6
-75.96789   ,   4.59475   ,   INOB   , 0.6
-75.89718   ,   4.90859   ,   INRI   , 0.6
-75.85438   ,   5.03160   ,   INSJ   , 0.6
-76.04278   ,   4.64222   ,   INTO   , 0.6
-74.23178   ,   11.18812   ,   INVE   , 0.6
-76.09157   ,   1.85523   ,   LAB1    , 0.6
-76.95106   ,   1.56647   ,   LEDE   , 0.6
-71.02527   ,   6.78787   ,   LIPA   , 0.6
-72.66202   ,   6.33668   ,   MAKA   , 0.6
-81.60614   ,   4.00325   ,   MALO   , 0.6
-70.23213   ,   1.26078   ,   MITU   , 0.6
-73.68301   ,   8.95891   ,   MORA   , 0.6
-75.47052   ,   5.03000   ,   MZAL   , 0.6
-73.55803   ,   5.64721   ,   OAMU   , 0.6
-71.61581   ,   4.27118   ,   OCEL   , 0.6
-77.25663   ,   1.21019   ,   OVSC   , 0.6
-73.18417   ,   7.13103   ,   PAL2   , 0.6
-76.49940   ,   0.51278   ,   PASI   , 0.6
-73.12567   ,   5.74650   ,   PATU   , 0.6
-75.04953   ,   3.91193   ,   PCHA   , 0.6
-75.33210   ,   5.04383   ,   PLTR   , 0.6
-76.61474   ,   2.44909   ,   POVA   , 0.6
-73.57453   ,   10.42237   ,   PUBE   , 0.6
-73.39538   ,   3.25374   ,   PULE   , 0.6
-67.90334   ,   3.85120   ,   PUIN   , 0.6
-73.75265   ,   7.81414   ,   PWIL   , 0.6
-77.29095   ,   1.39393   ,   QUIL   , 0.6
-70.72263   ,   5.04565   ,   RSLA   , 0.6
-81.71572   ,   12.58045   ,   SAN0   , 0.6
-72.80229   ,   8.08346   ,   SDTA   , 0.6
-75.52912   ,   6.19087   ,   SEL1   , 0.6
-76.52991   ,   3.37223   ,   SGCC   , 0.6
-73.06432   ,   6.99210   ,   SGCG   , 0.6
-74.09175   ,   4.64005   ,   SGCN   , 0.6
-73.06382   ,   6.99209   ,   SGG1   , 0.6
-76.37315   ,   2.60757   ,   SILP   , 0.6
-75.07500   ,   9.95673   ,   SJNE   , 0.6
-72.69852   ,   5.99669   ,   SOCB   , 0.6
-75.52494   ,   9.72813   ,   SONE   , 0.6
-72.92470   ,   5.70987   ,   SUAM   , 0.6
-74.87994   ,   10.34038   ,   SUAN   , 0.6
-76.70686   ,   2.94472   ,   SUES   , 0.6
-71.85952   ,   6.95393   ,   SVNA   , 0.6
-75.14715   ,   3.38038   ,   TCOA   , 0.6
-73.53931   ,   5.42178   ,   TEAT   , 0.6
-72.73610   ,   8.63142   ,   TIBU   , 0.6
-69.93939   ,   -4.18708   ,   TICU   , 0.6
-75.79218   ,   6.01458   ,   TITI   , 0.6
