name,lat,lon
BBAC,2.0216,-77.2469
CBOC,5.8644,-76.0122
CRJC,11.02,-72.8816
HEL,6.1909,-75.529
LCBC,8.857,-76.3678
MAP,4.0036,-81.6065
PGA6,3.7749,-71.333
PRA,3.7139,-74.8861
PTGC,4.1989,-72.134
RUS,5.8925,-73.0832
TABC,5.0114,-74.2043
ZAR,7.4923,-74.858
ACH1,3.9423,-73.6711
DRL01,9.708886,-73.664986
DRL06,9.577068,-73.472674
DRL02,9.735341,-73.270423
DRL03,9.391687,-73.474931
DRL04,9.607332,-73.523423
DRL05,9.62445,-73.476668
HI8C,7.12551,-75.6802
HI7C,7.12635,-75.66856
SERC,14.2871,-80.3649
RNCC,13.573555,-80.091805
CUCU,7.7068,-72.5993
ARMEC,4.55607,-75.6604
BOG,4.6419,-74.0804
CBUCF,7.0713,-73.0735
CBUIS,7.1413,-73.119
CCALA,4.5509,-75.6275
CCUC3,7.8711,-72.5044
CUFI,1.226,-77.345
CGIR2,7.0181,-73.1341
CGUAG,11.5378,-72.9028
IBA1C,4.447,-75.235
MAN1C,5.0715,-75.5244
NIZA,5.057778,-75.47075
PAS1,1.189,-77.322
PAS2,1.209695,-77.256303
CPER3,4.8073,-75.6454
RECRC,4.9604,-75.3525
TUM3C,1.824,-78.745
VALLC,10.5086,-73.2581
MEDEC,6.276,-75.5893
RAC2C,3.372131,-76.529982
CLEJA,3.5363,-74.0414
SCLC,8.7696,-75.6905
PDSC,6.992025,-73.06426
ARAUC,7.0649,-70.7073
APAC,7.9001,-76.5802
ARGC,9.8578,-74.2459
BAR2,6.5918,-73.1837
BET,2.7225,-75.4179
CAP2,8.6451,-77.36
CHI,4.6295,-73.7318
CRU,1.5678,-76.952
CUM,0.9414,-77.8249
CVER,4.5211,-74.0738
DBB,7.0174,-76.2098
FLO2,1.5825,-75.6525
GARC,2.1867,-75.4933
GUA,2.5421,-72.6239
GUY2C,5.2236,-75.3902
JAMC,3.2793,-76.6735
MACC,2.1452,-73.8477
MAL,4.01,-77.3318
NOR,5.5635,-74.8692
OCA,8.2398,-73.3194
ORTC,3.9093,-75.2461
PAL,4.9056,-76.2825
PAM,7.3395,-72.6996
PIZC,4.9653,-77.3597
POP2,2.5403,-76.6761
PRV,13.376,-81.3633
PTA,7.1472,-77.8085
PTB,6.5395,-74.4564
PTLC,-0.17042,-74.797
ROSC,4.8449,-74.3211
SJC,9.8967,-75.1796
SMAR,11.1638,-74.2245
SOL,6.2236,-77.4054
SPBC,5.6522,-74.0724
TAM,6.4354,-71.7913
TUM,1.8237,-78.7268
URE,7.7517,-75.5327
URI,11.7016,-71.9925
VIL,4.112,-73.6935
YOT,3.9834,-76.3451
YPLC,5.3966,-72.3803
URMC,3.24723,-74.37872
BRJC,6.9732,-73.7442
SAIC,12.5374033,-81.7119867
CLBC,3.377612,-74.801264
QUBC,5.7487467,-76.5192067
PLNC,3.1944,-75.6455
GRPC,2.967441,-78.17288
